animal,video_folder,session,trial_index,door_open_sec,door_close_sec,frame_id_start,frame_id_end,frame_count
rory,2026_01_03_16_14_39,session_2026-01-03_16-12-54,22,1767476519.368,1767476548.651,293295,298565,5271
rory,2026_01_03_16_14_39,session_2026-01-03_16-12-54,23,1767476595.041,1767476615.3,306916,310561,3646
rory,2026_01_03_16_14_39,session_2026-01-03_16-12-54,24,1767476659.663,1767476680.427,318547,322284,3738
rory,2026_01_03_16_14_39,session_2026-01-03_16-12-54,25,1767476731.0,1767476755.452,331388,335788,4401
rory,2026_01_03_16_14_39,session_2026-01-03_16-12-54,26,1767476810.11,1767476817.118,345628,346888,1261
rory,2026_01_03_16_14_39,session_2026-01-03_16-12-54,27,1767476864.005,1767476873.992,355329,357125,1797
rory,2026_01_03_16_14_39,session_2026-01-03_16-12-54,28,1767476933.439,1767477000.676,367827,379928,12102
rory,2026_01_03_16_14_39,session_2026-01-03_16-12-54,29,1767477047.536,1767477063.971,388364,391321,2958
rory,2026_01_03_16_14_39,session_2026-01-03_16-12-54,30,1767477115.94,1767477145.776,400676,406046,5371
rory,2026_01_03_16_14_39,session_2026-01-03_16-12-54,31,1767477191.73,1767477225.014,414318,420309,5992
rory,2026_01_03_16_14_39,session_2026-01-03_16-12-54,32,1767477269.623,1767477281.903,428339,430548,2210
rory,2026_01_03_16_14_39,session_2026-01-03_16-12-54,33,1767477327.275,1767477341.953,438715,441357,2643
rory,2026_01_03_16_14_39,session_2026-01-03_16-12-54,34,1767477386.709,1767477444.205,449414,459762,10349
rory,2026_01_04_17_51_32,session_2026-01-04_17-50-16,0,1767567369.395,1767567650.292,45553,96113,50561
rory,2026_01_04_17_51_32,session_2026-01-04_17-50-16,1,1767567697.966,1767567719.859,104695,108634,3940
rory,2026_01_04_17_51_32,session_2026-01-04_17-50-16,2,1767567774.389,1767567782.549,118451,119919,1469
rory,2026_01_04_17_51_32,session_2026-01-04_17-50-16,3,1767567954.293,1767567997.455,150833,158601,7769
rory,2026_01_04_17_51_32,session_2026-01-04_17-50-16,4,1767568043.012,1767568061.804,166802,170184,3383
rory,2026_01_04_17_51_32,session_2026-01-04_17-50-16,5,1767568171.614,1767568190.273,189951,193308,3358
rory,2026_01_04_17_51_32,session_2026-01-04_17-50-16,6,1767568246.475,1767568310.782,203425,215000,11576
rory,2026_01_05_13_36_14,session_2026-01-05_13-32-31,0,1767638332.15,1767638401.791,9905,22439,12535
rory,2026_01_05_13_36_14,session_2026-01-05_13-32-31,1,1767638565.518,1767638605.049,51911,59026,7116
rory,2026_01_05_13_36_14,session_2026-01-05_13-32-31,2,1767638656.914,1767638680.227,68362,72557,4196
rory,2026_01_05_13_36_14,session_2026-01-05_13-32-31,3,1767638735.493,1767638770.063,82506,88728,6223
rory,2026_01_05_13_36_14,session_2026-01-05_13-32-31,4,1767638820.723,1767638830.527,97848,99611,1764
rory,2026_01_05_13_36_14,session_2026-01-05_13-32-31,5,1767638882.47,1767638890.273,108962,110365,1404
rory,2026_01_05_13_36_14,session_2026-01-05_13-32-31,6,1767638937.357,1767638950.19,118841,121150,2310
rory,2026_01_05_13_36_14,session_2026-01-05_13-32-31,7,1767638995.939,1767639002.1,129386,130494,1109
rory,2026_01_05_13_36_14,session_2026-01-05_13-32-31,8,1767639047.431,1767639065.162,138655,141845,3191
rory,2026_01_05_13_36_14,session_2026-01-05_13-32-31,9,1767639110.135,1767639117.362,149941,151241,1301
rory,2026_01_05_13_36_14,session_2026-01-05_13-32-31,10,1767639162.16,1767639175.06,159306,161627,2322
